run	task	solver	seed	rc	minutes
humanoid-mujoco-s46-r1	Isaac-Humanoid	mujoco	46	1	6
humanoid-mujoco-adaptive-s46-r1	Isaac-Humanoid	mujoco-adaptive	46	0	50
velocity-flat-anymald-mujoco-s46-r1	Isaac-Velocity-Flat-AnymalD	mujoco	46	0	2
velocity-flat-anymald-mujoco-adaptive-s46-r1	Isaac-Velocity-Flat-AnymalD	mujoco-adaptive	46	0	15
velocity-flat-anymalb-mujoco-s46-r1	IsaacContrib-Velocity-Flat-AnymalB	mujoco	46	0	7
velocity-flat-anymalb-mujoco-adaptive-s46-r1	IsaacContrib-Velocity-Flat-AnymalB	mujoco-adaptive	46	0	19
velocity-flat-anymalc-mujoco-s46-r1	IsaacContrib-Velocity-Flat-AnymalC	mujoco	46	0	2
velocity-flat-anymalc-mujoco-adaptive-s46-r1	IsaacContrib-Velocity-Flat-AnymalC	mujoco-adaptive	46	0	14
velocity-flat-unitreea1-mujoco-s46-r1	IsaacContrib-Velocity-Flat-UnitreeA1	mujoco	46	0	4
velocity-flat-unitreea1-mujoco-adaptive-s46-r1	IsaacContrib-Velocity-Flat-UnitreeA1	mujoco-adaptive	46	0	10
velocity-flat-unitreego1-mujoco-s46-r1	IsaacContrib-Velocity-Flat-UnitreeGo1	mujoco	46	0	15
velocity-flat-unitreego1-mujoco-adaptive-s46-r1	IsaacContrib-Velocity-Flat-UnitreeGo1	mujoco-adaptive	46	0	20
velocity-flat-unitreego2-mujoco-s46-r1	Isaac-Velocity-Flat-UnitreeGo2	mujoco	46	0	6
velocity-flat-unitreego2-mujoco-adaptive-s46-r1	Isaac-Velocity-Flat-UnitreeGo2	mujoco-adaptive	46	0	10
velocity-flat-g1-mujoco-s46-r1	Isaac-Velocity-Flat-G1	mujoco	46	0	26
velocity-flat-g1-mujoco-adaptive-s46-r1	Isaac-Velocity-Flat-G1	mujoco-adaptive	46	0	201
velocity-flat-h1-mujoco-s46-r1	Isaac-Velocity-Flat-H1	mujoco	46	0	15
velocity-flat-h1-mujoco-adaptive-s46-r1	Isaac-Velocity-Flat-H1	mujoco-adaptive	46	0	37
reorient-cube-allegro-direct-mujoco-adaptive-s42-r1	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	42	0	2510
humanoid-mujoco-s43-r1	Isaac-Humanoid	mujoco	43	130	2
humanoid-mujoco-s44-r1	Isaac-Humanoid	mujoco	44	130	0
humanoid-mujoco-s45-r1	Isaac-Humanoid	mujoco	45	130	0
lift-kukaallegro-mujoco-s42-r1	Isaac-Lift-KukaAllegro	mujoco	42	143	331
reorient-cube-allegro-direct-mujoco-s42-r1	Isaac-Reorient-Cube-Allegro-Direct	mujoco	42	0	174
reorient-cube-allegro-direct-mujoco-adaptive-s42-r1	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	42	0	2184
lift-kukaallegro-mujoco-s42-r1	Isaac-Lift-KukaAllegro	mujoco	42	1	0
lift-kukaallegro-mujoco-adaptive-s42-r1	Isaac-Lift-KukaAllegro	mujoco-adaptive	42	1	1
reorient-cube-allegro-direct-mujoco-s43-r1	Isaac-Reorient-Cube-Allegro-Direct	mujoco	43	1	0
reorient-cube-allegro-direct-mujoco-adaptive-s43-r1	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	43	1	0
lift-kukaallegro-mujoco-s43-r1	Isaac-Lift-KukaAllegro	mujoco	43	1	0
lift-kukaallegro-mujoco-adaptive-s43-r1	Isaac-Lift-KukaAllegro	mujoco-adaptive	43	1	1
reorient-cube-allegro-direct-mujoco-s44-r1	Isaac-Reorient-Cube-Allegro-Direct	mujoco	44	1	3
reorient-cube-allegro-direct-mujoco-adaptive-s44-r1	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	44	1	1
lift-kukaallegro-mujoco-s44-r1	Isaac-Lift-KukaAllegro	mujoco	44	1	1
lift-kukaallegro-mujoco-adaptive-s44-r1	Isaac-Lift-KukaAllegro	mujoco-adaptive	44	1	1
reorient-cube-allegro-direct-mujoco-s45-r1	Isaac-Reorient-Cube-Allegro-Direct	mujoco	45	1	1
reorient-cube-allegro-direct-mujoco-adaptive-s45-r1	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	45	1	1
lift-kukaallegro-mujoco-s45-r1	Isaac-Lift-KukaAllegro	mujoco	45	1	0
lift-kukaallegro-mujoco-adaptive-s45-r1	Isaac-Lift-KukaAllegro	mujoco-adaptive	45	1	0
